point;time;Leq;L5;L10;L50;L90;condition
P2;33;64.92;67.41;66.76;64.63;62.42;Without fireworks
P2;34;65.35;70.11;67.62;63.53;62.02;Without fireworks
P2;35;65.11;67.7;66.46;64.57;62.7;Without fireworks
P2;36;65.33;68.79;68.01;64.25;61.62;Without fireworks
P2;37;63.33;65.37;65.08;62.76;61.31;Without fireworks
P2;38;67.46;72.39;71.23;64.53;61.59;Without fireworks
P2;39;65.2;69.49;68.99;62.44;60.28;Without fireworks
P2;40;69.28;73.14;72.36;67.97;61.67;Without fireworks
P2;41;66.1;69.98;69.38;63.74;61.35;Without fireworks
P2;42;65.72;69.73;68.8;63.81;59.73;Without fireworks
P2;43;63.08;67.15;66.39;61.47;59.9;Without fireworks
P2;44;63.88;68.61;66.79;61.45;59.03;Without fireworks
P2;45;65.06;69.56;68.89;63.04;60.03;Without fireworks
P2;46;63.67;66.82;66.56;62.86;60.24;Without fireworks
P2;47;65.19;70.04;68.81;61.97;59.87;Without fireworks
P2;48;66.93;69.21;67.21;62.64;60.48;Without fireworks
P2;49;63.31;67.23;64.84;61.79;60.22;Without fireworks
P2;50;63.58;68.71;66.73;61.52;58.64;Without fireworks
P2;51;65.44;69.64;69;62.16;59.51;Without fireworks
P2;52;66.31;72.35;69.14;63.1;59.72;Without fireworks
P2;53;63.62;68.58;67.7;61.28;58.37;Without fireworks
P2;54;62.4;66.2;64.34;61.12;58.9;Without fireworks
P2;55;63.98;67.93;66.73;62.36;58.66;Without fireworks
P2;56;84.92;88.69;87.94;84.19;73.86;With fireworks
P2;57;83.32;87.84;86.37;82.21;70.61;With fireworks
P2;58;80.92;85.93;83.89;77.06;68.82;With fireworks
P2;59;79.99;83.66;83.02;78.55;70.17;With fireworks
P2;60;80.37;85.51;82.69;79.04;67.77;With fireworks
P2;61;80.49;85;84.12;78.07;70.16;With fireworks
P2;62;80.31;84.74;84.06;78.08;70.81;With fireworks
P2;63;83.93;89.88;89.22;78.81;69.59;With fireworks
P2;64;81.48;86.68;85.35;78.53;69.33;With fireworks
P2;65;82.16;88.32;85.86;77.93;69.32;With fireworks
P2;66;80.45;85.19;83.35;77.55;68.7;With fireworks
P2;67;86.09;93.24;91.66;80.63;69.57;With fireworks
P2;68;82.37;87.17;85.61;79.75;72.89;With fireworks
P2;69;81.64;87.47;84.43;79.88;67.05;With fireworks
P2;70;79.93;86.35;84.78;75.88;66.67;With fireworks
P2;71;82.18;88.13;86.37;73.15;65.51;With fireworks
P2;72;79.42;85.07;84.04;70.02;63.38;With fireworks
P2;73;82.55;87.93;87.76;72.45;62.47;With fireworks
P2;74;84.25;90.74;90.39;64.69;60.6;With fireworks
P2;75;64.39;68.79;66.35;62.17;60.15;Without fireworks
P2;76;65.3;70.34;69.28;63.07;61.68;Without fireworks
P2;77;63.76;67.76;66.26;62.01;60.85;Without fireworks
P2;78;77.64;78.74;70.9;63.27;61.63;Without fireworks
P2;79;79.15;73.28;68.08;61.58;59.36;Without fireworks
P2;80;62.78;67.35;65.16;61.25;59.47;Without fireworks
P2;81;62;64.46;63.95;61.26;59.4;Without fireworks
P2;82;60.9;62.53;62.27;60.63;59.13;Without fireworks
P2;83;63.41;67.16;66.14;61.9;59.61;Without fireworks
P2;84;60.97;63.09;62.3;60.74;59.18;Without fireworks
P2;85;63.55;66.7;65.89;61.97;59.87;Without fireworks
P2;86;62.56;66;64.37;61.72;60.56;Without fireworks
P2;87;63.68;65.98;65.33;62.9;61.22;Without fireworks
P2;88;76.35;80.28;74.55;63.69;61.86;Without fireworks
P2;89;66.3;69.46;66.98;64.59;62.55;Without fireworks
P2;90;63.61;67.92;66.55;62.23;61;Without fireworks
P2;91;65.58;67.46;67.43;65.12;63.4;Without fireworks
P2;92;64.41;65.95;65.43;64.24;63.05;Without fireworks
P2;93;65.96;69.53;67.47;64.72;62.93;Without fireworks
P2;94;65.33;68.51;66.18;64.72;63.47;Without fireworks
P2;95;66.09;68.73;67.97;65.34;63.58;Without fireworks
P2;96;65.91;67.9;67.57;65.51;63.82;Without fireworks
P2;97;65.48;67.67;66.92;65.16;63.34;Without fireworks
P2;98;65.17;67.41;66.99;64;62.8;Without fireworks
P2;99;66.64;70.71;69.61;65.14;63.12;Without fireworks
P2;100;65.78;69.38;67.77;64.44;63.06;Without fireworks
P2;101;66.74;70.3;68.93;65.65;63.78;Without fireworks
P2;102;67.57;70.69;70.16;66.19;64.28;Without fireworks
P2;103;68.63;73.42;70.99;66.93;65.56;Without fireworks
P2;104;69.91;71.24;70.63;68.2;66.46;Without fireworks
P2;105;67.9;69.62;68.8;67.32;66.37;Without fireworks
P2;106;68.76;71.28;70.41;68.38;66.66;Without fireworks
P2;107;69.5;71.28;70.82;69.22;67.84;Without fireworks
P2;108;70.31;71.53;70.73;68.69;66.53;Without fireworks
P2;109;69.89;72.58;71.79;69.09;68.14;Without fireworks
P2;110;69.31;71.06;70.66;68.94;67.55;Without fireworks
P2;111;69.95;72.83;72.39;68.51;66.52;Without fireworks
P2;112;70.71;71.54;70.45;67.41;64.81;Without fireworks
P2;113;75.12;72.08;70.4;66.42;65.39;Without fireworks
P2;114;66.87;69.97;69.15;66.18;64.4;Without fireworks
P2;115;67.63;71.65;70.94;66.4;63.42;Without fireworks
P3;0;68.02;70.52;70.39;67.77;63.94;Without fireworks
P3;1;68.99;72.11;71.24;68.6;64.69;Without fireworks
